code|description|ncm|cest|icms_aliquota|icms_cst|cbenef|icms_aliquota_reduzida|cfop|protege|piscofins_cst|pis_aliquota|cofins_aliquota|barcode|naturezareceita|sequencial|estado_origem|estado_destino
300055|ABRAC. 1 2 X 3 4 CART UN|39174090|1006200|17|0||17.0|5102|0|01|1.65|7.6|7893657001796|0|0||
300056|ABRAC. 3 4  X 1CART UN|39174090|1006200|17|0||17.0|5102|0|01|1.65|7.6|7893657001802|0|0||
300057|ABRACADEIRA CONDUTOP 34 TIGRE|39174090||17|0||17.0|5102|0|01|1.65|7.6||0|0||
300058|ABRACADEIRA CONDUTOP1 TIGRE|39174090||17|0||17.0|5102|0|01|1.65|7.6||0|0||
783235|ABRACADEIRA LAMPADA FLUORECENTE PC|73269000|0900100|17|0||17.0|5102|0|01|1.65|7.6||0|0||
783368|ABRACADEIRA NYLON 3,5MM X 250MM PRETA/SIBRATEC|74111010||17|0||17.0|5102|0|01|1.65|7.6||0|0||
300059|ABRACADEIRA NYLON 35X200 C100|39269090||17|0||17.0|5102|0|01|1.65|7.6||0|0||
783243|ABRACADEIRA NYLON 35X280 UN|39269090||17|0||17.0|5102|0|01|1.65|7.6||0|0||
300060|ABRACADEIRA NYLON 76X900|39269090||17|0||17.0|5102|0|01|1.65|7.6||0|0||
300061|ABRIDOR DE GARRAFA ALUMINIO FUNDIDO UN|39174090||17|0||17.0|5102|0|01|1.65|7.6||0|0||
300062|ABRIDOR DE LATA E GARRAFA ASA UN|39174090||17|0||17.0|5102|0|01|1.65|7.6|7893657000874|0|0||
783130|ABRIDOR DE LATA E GARRAFA INOX UN|39174090||17|0||17.0|5102|0|01|1.65|7.6|7893657005503|0|0||
300063|ABRIDOR FURA COCO ASA DO BRASIL UN|39174090||17|0||17.0|5102|0|01|1.65|7.6|7893657010088|0|0||
300064|ABRIDOR LATA E GARRAFA INOX UN.|39174090||17|0||17.0|5102|0|01|1.65|7.6|7893657005718|0|0||
300065|ABS ALWAYS BASICO SECO C ABAS 16UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7500435127233|0|0||
300066|ABS CAREFREE BRISA S PERF 12X15|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300067|ABS CAREFREE PROTECAO C 15UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010087722|0|0||
300068|ABS CAREFREE PT DIAR PROTECAO UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010875596|0|0||
300069|ABS CAREFREE S  ABAS BRISA C 15UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010087807|0|0||
783697|ABS CAREFREE TODO DIA SEM PERF 40UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010039783|0|0||
784118|ABS DIANA FASHION SVE C AB LV16PG14 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
783962|ABS DIANA NOTURNO SVE C AB|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300070|ABS DIANA SUAVE C ABAS 8UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896914000266|0|0||
300071|ABS DIANA SUAVE C ABAS L16 P14|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896914002116|0|0||
300072|ABS INT DAYS PROT DIARIO S ABAS S PERF 12X15|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
784581|ABS INT GEL DAYS PROT 15UN S AB ANTIBACT UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300073|ABS INT GEL NOR SUAVE C ABAS 12X8|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300074|ABS INT GEL NOR SUAVE C ABAS 6X16X1|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300075|ABS INT GEL NOTURNO SECA C ABAS 12X8|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300076|ABS INT GEL NOTURNO SUAVE C ABAS 12X8|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300077|ABS INTIMUS GEL C ABAS SECO LEV16PG14 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007545100|0|0||
300078|ABS INTIMUS GEL T.PROT C ABAS SUAVE LEV16PG14|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007545094|0|0||
300079|ABS KISSES MAX POS PARTO 12X10UN|48184090||12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300080|ABS S LIVRE ESP SUAVE C ABAS LV8 PG7 12X8|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300081|ABS SYM GIRL SUAVE C ABAS 12X8X1|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300082|ABS SYM PROT DIARIO NEUTRO 12X15UNID|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300083|ABS SYM SECA C ABAS 12X8X1|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300084|ABS SYM SECA C ABAS 32X1|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300085|ABS SYM SECA C ABAS 6XL16X14|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300086|ABS SYM SUAVE C ABAS 12X8X1|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300087|ABS SYM SUAVE C ABAS 32X1|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300088|ABS SYM SUAVE S ABAS 12X8X1|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
7501007499758|ABS. ALWAYS  PROTETOR DIARIO PREMIUM C 15UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300089|ABS. ALWAYS BASICO SUAVE C ABAS 16UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7500435127257|0|0||
300090|ABS. ALWAYS MILI PROTETOR DIARIO PREMIUM C 15UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896104996492|0|0||
300091|ABS. ALWAYS NOITES TRANQUILAS LV 8 PG 7 COM ABAS U|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7506339394603|0|0||
300092|ABS. ALWAYS NOITES TRANQUILAS SECA C 8UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7506339394535|0|0||
300093|ABS. ALWAYS PINK C ABAS C 8UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7506195129838|0|0||
300094|ABS. ALWAYS SUPER PROT. COB. SUAVE C ABAS C 08 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7500435127240|0|0||
300095|ABS. ALWAYS SUPER PROT. COB. SUAVE S ABAS C 08 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7500435127271|0|0||
300096|ABS. ALWAYS SUPER PROT. COB.SECA C ABAS C 08 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7500435127226|0|0||
300097|ABS. ALWAYS SUPER PROT. COB.SECA S ABAS C 08 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7500435127264|0|0||
300098|ABS. ALWAYS ULTRA FINO NOTURNO C 8 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7590002012383|0|0||
300099|ABS. CAREFREE NEUTRALIZE C PERFUME C 15UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010015268|0|0||
300100|ABS. CHARMS PROTECAO ATIVA C ABAS 8UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896909300227|0|0||
300101|ABS. CHARMS PROTECAO CLASSICA C ABAS 8UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896909300180|0|0||
300102|ABS. CHARMS PROTECAO CLASSICA S  ABAC 8UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896909300203|0|0||
300103|ABS. CHARMS PROTECAO NATURAL  C ABAS 8UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896909300159|0|0||
300104|ABS. DIANA FINO SEM ABAS|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896914000273|0|0||
300105|ABS. INTIMUS DAYS PH PROTECT S PERFUME C 15UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007540259|0|0||
300106|ABS. INTIMUS DIA  NOITE ULTRAFINO  C ABAS 14UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007550807|0|0||
300107|ABS. INTIMUS GEL COB. SECA C ABAS C 08 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007540631|0|0||
300108|ABS. INTIMUS GEL COB. SECA S ABAS C 08UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007540624|0|0||
300109|ABS. INTIMUS GEL COB. SUAVE C ABAS C 08 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007540617|0|0||
300110|ABS. INTIMUS GEL COB. SUAVE S ABAS C 08 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007540600|0|0||
300111|ABS. INTIMUS GEL INTERNO GRAN. C 8 UND|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007541874|0|0||
300112|ABS. INTIMUS GEL INTERNO MINI C 8UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007541850|0|0||
300113|ABS. INTIMUS GEL NOTURNO C ABAS SUAVE L9P78 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007547685|0|0||
300114|ABS. INTIMUS GEL NOTURNO COB. SECA C ABAS C 08UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007542437|0|0||
300115|ABS. INTIMUS GEL NOTURNO COB. SUAVE C ABAS C 08UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007540662|0|0||
300116|ABS. INTIMUS GEL SVE.C AB.LV9 PG8 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007547654|0|0||
300117|ABS. INTIMUS INTERNO MEDIO C 8 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007541867|0|0||
7896007550548|ABS. INTIMUS PROTETOR DIARIO  C 40 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300118|ABS. INTIMUS SECA C ABAS L9P8 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007547647|0|0||
300119|ABS. INTIMUS ULTRAFINO  C ABAS 14UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896007551019|0|0||
300120|ABS. O.B. INTERNO MD REGULAR PG08 LV10|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010886547|0|0||
300121|ABS. O.B. INTERNO MINI  PROCOMFORT C 08UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010245597|0|0||
300122|ABS. O.B. INTERNO SUPER C 10UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010010577|0|0||
300123|ABS. SEMPRE LIVRE ADAPT TERMO CONTROL C ABAS C 08U|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010031633|0|0||
7891010579616|ABS. SEMPRE LIVRE COB.SUAVE C ABAS C 16 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6||0|0||
300124|ABS. SEMPRE LIVRE ESP. ADAPT SUAVE C ABAS C 08|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010503024|0|0||
300125|ABS. SEMPRE LIVRE ESP. ADAPT SUAVE S ABAS C 08|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010503031|0|0||
300126|ABS. SEMPRE LIVRE ESP. SUAVE C ABAS L8P7 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010973483|0|0||
300127|ABS. SEMPRE LIVRE ESP.ADAPT SUAVE C ABAS PG14 LV16|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010793463|0|0||
300128|ABS. SEMPRE LIVRE MAX SUAVE NOTURNO C ABAS C 08 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010035631|0|0||
300129|ABS. SEMPRE LIVRE MAX SUAVE TERMO CONTROL ADAPT S|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010034511|0|0||
300130|ABS. SYM COB. SECA C  ABAS LV16PG14 LARANJA UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896110008363|0|0||
300131|ABS. SYM COB.SECA ULTRASSECA C ABAS C 08 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896110003863|0|0||
300132|ABS. SYM COB.SECA ULTRASSECA C ABAS PG07 LV08|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896110007908|0|0||
300133|ABS. SYM COB.SUAVE C ABAS C 08 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896110002248|0|0||
300134|ABS. SYM COB.SUAVE C ABAS PG07 LV08UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896110007700|0|0||
300135|ABS. SYM COB.SUAVE GIRL C ABAS C 08 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896110003221|0|0||
300136|ABS. SYM COB.SUAVE NOTURNO C ABAS C 08 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896110003740|0|0||
300137|ABS. SYM COB.SUAVE S ABAS C 08 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896110002255|0|0||
300138|ABS. SYM NOITE DIA SUAVE C AB L16P14 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896110094625|0|0||
300139|ABS. SYM NOITE DIA SUAVE C ABAS C 8UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896110007892|0|0||
300140|ABS. SYM SUAVE C ABAS LV16 PG14 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896110008042|0|0||
300141|ABS.ALWAY SUAVE LEVE 10 PAGUE 8  UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7500435190633|0|0||
300142|ABS.DELUXE SUAVE C AB UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896914000235|0|0||
300143|ABS.MILI  DIA E NOITE  C AB 16 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896104993903|0|0||
300144|ABS.MILI  NOTURNO C AB  8 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896104993897|0|0||
300145|ABS.MILI  NOTURNO COBERTURA SUAVE  C AB 16 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896104993880|0|0||
300146|ABS.MILI COB SUAVE C AB 16 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896104993835|0|0||
