code|await_sync_at|barcode_df|barcode_items_df|cbenef_df|cbenef_items_df|cest_df|cest_items_df|cfop_df|cfop_items_df|cofins_aliquota_df|cofins_aliquota_items_df|description_df|description_items_df|divergent_columns_df|estado_destino_df|estado_destino_items_df|estado_origem_df|estado_origem_items_df|icms_aliquota_df|icms_aliquota_items_df|icms_aliquota_reduzida_df|icms_aliquota_reduzida_items_df|icms_cst_df|icms_cst_items_df|naturezareceita_df|naturezareceita_id|naturezareceita_items_df|ncm_df|ncm_items_df|pis_aliquota_df|pis_aliquota_items_df|piscofins_cst_df|piscofins_cst_items_df|protege_df|protege_items_df|sequencial_df|sequencial_items_df|status_item|sync_at|sync_validate_at
500563|2024-10-28 18:04:58.498525+00:00|7891991015462|7891991015462|||0302101|0302101|5405|5405|0.0|0.0|STELLA ARTOIS LONG NECK 330ML|STELLA ARTOIS LONG NECK 330ML|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22030000|22030000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500564|2024-10-28 18:04:58.498525+00:00|7898303140089|7898303140089|||0300500|0300500|5405|5405|0.0|0.0|AGUA GOYA C/GAS 500ML|AGUA GOYA C/GAS 500ML|naturezareceita|||||0|0|0|0|60|60|0|29.0|914|22011000|22011000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500565|2024-10-28 18:04:58.498525+00:00|7500435154437|7500435154437|||2006400|2006400|5405|5405|0.0|7.6|APARELHO PRESTOBARBA ULTRAGRIP CAB MOVEL|APARELHO PRESTOBARBA ULTRAGRIP CAB MOVEL|pis_aliquota, cofins_aliquota|||||0|0|0|0|60|60|0||0|82121020|82121020|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500566|2024-10-28 18:04:58.498525+00:00|7896036098974|7896036098974|||1704100|1704100|5102|5102|0.0|7.6|MOLHO TOMATE POMAROLA TRAD SACHET 320GR|MOLHO TOMATE POMAROLA TRAD SACHET 320GR|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21032010|21032010|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500567|2024-10-28 18:04:58.498525+00:00|7896286610858|7896286610858|||1705300|1705300|5102|5102|0.0|7.6|CORY PALITO BRIGADEIRO FLOCOS 90GR|CORY PALITO BRIGADEIRO FLOCOS 90GR|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053100|19053100|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500571|2024-10-28 18:04:58.498525+00:00|7894900701609|7894900701609|||0301001|0301001|5405|5405|0.0|0.0|COCA COLA S/A 600ML|COCA COLA S/A 600ML|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22021000|22021000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500572|2024-10-28 18:04:58.498525+00:00|7896005802397|7896005802397|||1710900|1710900|5102|5102|0.0|7.6|CAFE CAPPUCCINO 3CORAÇÕES CHOCOLATE SACHE 20G|CAFE CAPPUCCINO 3CORAÇÕES CHOCOLATE SACHE 20G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21011200|21011200|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500573|2024-10-28 18:04:58.498525+00:00|7891340303233|7891340303233|||1705700|1705700|5102|5102|0.0|7.6|BISCOITO ITAMARATY LOOK CHOCOLATE 55GRS|BISCOITO ITAMARATY LOOK CHOCOLATE 55GRS|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053200|19053200|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500574|2024-10-28 18:04:58.498525+00:00|7898158930132|7898158930132|||0400200|0400200|5405|5405|0.0|7.6|FUMO ALVORADA SUAVE 34GR|FUMO ALVORADA SUAVE 34GR|pis_aliquota, cofins_aliquota|||||0|0|0|0|60|60|0||0|24031900|24031900|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500575|2024-10-28 18:04:58.498525+00:00|7896286604154|7896286604154|||1705300|1705300|5102|5102|0.0|7.6|CORY PALITO CHOCOLATE 90GR|CORY PALITO CHOCOLATE 90GR|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053100|19053100|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500577|2024-10-28 18:04:58.498525+00:00|7896434921058|7896434921058|||||5102|5102|0.0|7.6|PA BASE CULINARIA 200G|PA BASE CULINARIA 200G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21069090|21069090|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500578|2024-10-28 18:04:58.498525+00:00|7898302287815|7898302287815|||1708400|1708400|5102|5102|0.0|0.0|MOCOTO BOVINO CONGELADO|MOCOTO BOVINO CONGELADO|naturezareceita|||||12|12|12|12|0|0|0|18.0|121|02061000|02061000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500579|2024-10-28 18:04:58.498525+00:00|7891515220648|7891515220648|||1707907|1707907|5102|5102|0.0|7.6|APRESUNTADO PERDIGAO|APRESUNTADO PERDIGAO|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|16024900|16024900|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500580|2024-10-28 18:04:58.498525+00:00|7891132082360|7891132082360|||||5102|5102|0.0|7.6|REFRESCO MID MARACUJA 20GR|REFRESCO MID MARACUJA 20GR|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21069010|21069010|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500581|2024-10-28 18:04:58.498525+00:00|7896004006482|7896004006482|||1703101|1703101|5102|5102|0.0|7.6|BAUDUCCO PRINGLES ORIGINAL 114G|BAUDUCCO PRINGLES ORIGINAL 114G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19059090|19059090|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500582|2024-10-28 18:04:58.498525+00:00|7891962036984|7891962036984|||1705700|1705700|5102|5102|0.0|7.6|BISC BAUDUCCO WAFER CHOCOLATE 140G|BISC BAUDUCCO WAFER CHOCOLATE 140G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053200|19053200|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500583|2024-10-28 18:04:58.498525+00:00|7891000261026|7891000261026|||1702100|1702100|5102|5102|0.0|0.0|POLPA NINHO 540G|POLPA NINHO 540G|naturezareceita|||||12|12|12|12|0|0|0|6.0|110|04032000|04032000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500584|2024-10-28 18:04:58.498525+00:00|7896216101265|7896216101265|||1706200|1706200|5102|5102|0.0|7.6|PAO DE ALHO MEZZANI S/REFRIG 310GR|PAO DE ALHO MEZZANI S/REFRIG 310GR|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19059090|19059090|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500585|2024-10-28 18:04:58.498525+00:00|7891080400100|7891080400100||GO821019|1702600|1702600|5102|5102|0.0|0.0|MARGARINA DELICIA 250GR CREM 70% LIP|MARGARINA DELICIA 250GR CREM 70% LIP|icms_aliquota, cbenef, naturezareceita|||||7|12|7|7|20|20|0|24.0|127|15171000|15171000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500586|2024-10-28 18:04:58.498525+00:00|7894321711263|7894321711263|||1700600|1700600|5102|5102|0.0|7.6|ACHOCOLATADO TODDY 370G|ACHOCOLATADO TODDY 370G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|18069000|18069000|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500587|2024-10-28 18:04:58.498525+00:00|7896629641075|7896629641075|||1711500|1711500|5102|5102|0.0|0.0|BEBIDA LACTEA MORANGO BANDEIJA 540GR|BEBIDA LACTEA MORANGO BANDEIJA 540GR|naturezareceita|||||19|19|19|19|0|0|0|6.0|110|22029900|22029900|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500589|2024-10-28 18:04:58.498525+00:00|7894904005550|7894904005550|||1707800|1707800|5102|5102|0.0|7.6|MORTADELA DEFUMADA S GOURMET|MORTADELA DEFUMADA S GOURMET|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|16010000|16010000|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500590|2024-10-28 18:04:58.498525+00:00|7896212911691|7896212911691||GO821019|1704906|1704906|5102|5102|0.0|0.0|MAC SEMOLA CRISTAL PENNE 500G|MAC SEMOLA CRISTAL PENNE 500G|icms_aliquota, cbenef, naturezareceita|||||7|12|7|7|20|20|0|16.0|119|19021100|19021100|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500591|2024-10-28 18:04:58.498525+00:00|7896629641099|7896629641099|||1711500|1711500|5102|5102|0.0|0.0|BEBIDA LAC MORANGO E COCO BAND 540GR|BEBIDA LAC MORANGO E COCO BAND 540GR|naturezareceita|||||19|19|19|19|0|0|0|6.0|110|22029900|22029900|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500592|2024-10-28 18:04:58.498525+00:00|7891340365392|7891340365392|||1705700|1705700|5102|5102|0.0|7.6|BISCOITO ITAMARATY LOOK COOKIES&CREAM 55GRS|BISCOITO ITAMARATY LOOK COOKIES&CREAM 55GRS|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053200|19053200|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500594|2024-10-28 18:04:58.498525+00:00|7894904555659|7894904555659|||1707600|1707600|5102|5102|0.0|7.6|SALAME ITALIANO FAT S GOURME|SALAME ITALIANO FAT S GOURME|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|16010000|16010000|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500595|2024-10-28 18:04:58.498525+00:00|7891000359822|7891000359822|||1711500|1711500|5102|5102|0.0|0.0|ACHOC NESCAU PRONTO 180ML TP|ACHOC NESCAU PRONTO 180ML TP|naturezareceita|||||19|19|19|19|0|0|0|6.0|110|22029900|22029900|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500596|2024-10-28 18:04:58.498525+00:00|7896005802373|7896005802373|||1710900|1710900|5102|5102|0.0|7.6|CAFE CAPPUCCINO 3CORAÇÕES CLASSIC SACHE 20G|CAFE CAPPUCCINO 3CORAÇÕES CLASSIC SACHE 20G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21011200|21011200|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500597|2024-10-28 18:04:58.498525+00:00|78900134|78900134|||0400100|0400100|5405|5405|0.0|0.0|MARLBORO GOLD BOX 20UND|MARLBORO GOLD BOX 20UND|naturezareceita|||||0|0|0|0|60|60|0|12.0|101|24022000|24022000|0.0|0.0|05|05|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500598|2024-10-28 18:04:58.498525+00:00|7891700080439|7891700080439|||||5102|5102|0.0|7.6|CALDO ARISCO 114GR GALINHA|CALDO ARISCO 114GR GALINHA|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21041011|21041011|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500599|2024-10-28 18:04:58.498525+00:00|041333001074|041333001074|||||5102|5102|0.0|7.6|PILHA DURACELL ALC AAA PALITO SM 2UN|PILHA DURACELL ALC AAA PALITO SM 2UN|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|85061019|85061019|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500601|2024-10-28 18:04:58.498525+00:00|7896077039240|7896077039240|||1705300|1705300|5102|5102|0.0|7.6|BOLACHA NORTISTA SUPER TRADICIONAL 250G|BOLACHA NORTISTA SUPER TRADICIONAL 250G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053100|19053100|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500602|2024-10-28 18:04:58.498525+00:00|7622210762962|7622210762962|||||5102|5102|0.0|7.6|REFRESCO TANG GOIABA 25G|REFRESCO TANG GOIABA 25G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21069010|21069010|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500603|2024-10-28 18:04:58.498525+00:00|7891962000725|7891962000725|||1706201|1706201|5102|5102|0.0|7.6|BOLINHO BAUDUCCO 40GR INFANTIL CHOCOLATE.|BOLINHO BAUDUCCO 40GR INFANTIL CHOCOLATE.|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19059090|19059090|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500604|2024-10-28 18:04:58.498525+00:00|78900073|78900073|||0400100|0400100|5405|5405|0.0|0.0|MARLBORO GOLD SOFT|MARLBORO GOLD SOFT|naturezareceita|||||0|0|0|0|60|60|0|12.0|101|24022000|24022000|0.0|0.0|05|05|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500605|2024-10-28 18:04:58.498525+00:00|7896520023055|7896520023055|||1711200|1711200|5102|5102|0.0|7.6|NECTAR MIST PESS E MACA LF 200ML|NECTAR MIST PESS E MACA LF 200ML|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|22029900|22029900|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500606|2024-10-28 18:04:58.498525+00:00||||GO811010|||5102|5102|0.0|0.0|MELAO REI KG|MELAO REI KG|cbenef, naturezareceita|||||0|0|0|0|40|40|0|14.0|116|08071900|08071900|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500880|2024-10-28 18:04:58.498525+00:00|7897195981350|7897195981350|||1711200|1711200|5102|5102|0.0|7.6|GARRAFA DE SUCO 900ML SUCO DE GOIABA|GARRAFA DE SUCO 900ML SUCO DE GOIABA|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|22029900|22029900|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500881|2024-10-28 18:04:58.498525+00:00|7891000051436|7891000051436|||1705301|1705301|5102|5102|0.0|7.6|PASSATEMPO BISCOITO LEITE 150G|PASSATEMPO BISCOITO LEITE 150G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053100|19053100|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500882|2024-10-28 18:04:58.498525+00:00|7892840802714|7892840802714|||0301001|0301001|5405|5405|0.0|0.0|PEPSI TWIST PET 2L|PEPSI TWIST PET 2L|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22021000|22021000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500884|2024-10-28 18:04:58.498525+00:00|7891991001373|7891991001373|||0301001|0301001|5405|5405|0.0|0.0|GUARANA CHP ANTARCTICA DIET 2L|GUARANA CHP ANTARCTICA DIET 2L|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22021000|22021000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500885|2024-10-28 18:04:58.498525+00:00|7891000304556|7891000304556|||1705300|1705300|5102|5102|0.0|7.6|NESFIT BISC CACAU E CEREAIS 160GR|NESFIT BISC CACAU E CEREAIS 160GR|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053100|19053100|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500886|2024-10-28 18:04:58.498525+00:00|7898113018417|7898113018417||GO821019|2004300|2004300|5102|5102|0.0|0.0|PAPEL HIG PROEZA VIP NEUTRO 20MTS 12UN|PAPEL HIG PROEZA VIP NEUTRO 20MTS 12UN|icms_aliquota, cbenef, naturezareceita|||||7|12|7|7|20|20|0|27.0|130|48181000|48181000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500888|2024-10-28 18:04:58.498525+00:00|7896029015001|7896029015001|||2200100|2200100|5102|5102|0.0|7.6|PEDIGREE SACHE FILHOTES CARNE 100G|PEDIGREE SACHE FILHOTES CARNE 100G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|23099010|23099010|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500889|2024-10-28 18:04:58.498525+00:00|7896245709005|7896245709005|||1706201|1706201|5102|5102|0.0|7.6|SALG TRIGO PETICITOS PICANTE 40G|SALG TRIGO PETICITOS PICANTE 40G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19059090|19059090|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500890|2024-10-28 18:04:58.498525+00:00|7899465200512|7899465200512|||1701000|1701000|5102|5102|0.0|7.6|ALEGRIA FRUIT SAB LARANJA 2L|ALEGRIA FRUIT SAB LARANJA 2L|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|20091200|20091200|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500891|2024-10-28 18:04:58.498525+00:00|7891132019717|7891132019717|||1703500|1703500|5102|5102|0.0|7.6|SAZON LARANJA 60GR|SAZON LARANJA 60GR|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21039021|21039021|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500892|2024-10-28 18:04:58.498525+00:00|7891048050668|7891048050668||GO821022|||5102|5102|0.0|7.6|GELATINA PO MORANGO OETEKER 20G|GELATINA PO MORANGO OETEKER 20G|icms_aliquota, cbenef, pis_aliquota, cofins_aliquota|||||12|19|12|12|20|20|0||0|21069029|21069029|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500893|2024-10-28 18:04:58.498525+00:00|7891079012581|7891079012581||GO821019|1704701|1704701|5102|5102|0.0|0.0|MAC NISSIN LAM FRANGO ASSADO C/TOQ LIMAO 85G|MAC NISSIN LAM FRANGO ASSADO C/TOQ LIMAO 85G|icms_aliquota, cbenef, naturezareceita|||||7|12|7|7|20|20|0|16.0|119|19023000|19023000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500894|2024-10-28 18:04:58.498525+00:00|7898195130069|7898195130069|||||5102|5102|0.0|7.6|REFRESCO CLIK MORANGO 100GR|REFRESCO CLIK MORANGO 100GR|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21069010|21069010|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500895|2024-10-28 18:04:58.498525+00:00|7891000305317|7891000305317|||1705300|1705300|5102|5102|0.0|7.6|BISC NESTLE 126GR BONO RECH LIMAO|BISC NESTLE 126GR BONO RECH LIMAO|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053100|19053100|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500896|2024-10-28 18:04:58.498525+00:00|7896036099810|7896036099810|||1704000|1704000|5102|5102|0.0|7.6|EXTRATO ELEFANTE LT 345G|EXTRATO ELEFANTE LT 345G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|20029000|20029000|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500897|2024-10-28 18:04:58.498525+00:00|7898080641588|7898080641588|||1704606|1704606|5102|5102|0.0|7.6|MISTURA PARA BOLO SABOR CHOCOLATE 400G ITALAC|MISTURA PARA BOLO SABOR CHOCOLATE 400G ITALAC|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19012090|19012090|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500898|2024-10-28 18:04:58.498525+00:00|78941205|78941205|||||5102|5102|0.0|7.6|FERRERO TIC TAC MELANCIA 16G|FERRERO TIC TAC MELANCIA 16G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|17049020|17049020|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500899|2024-10-28 18:04:58.498525+00:00|7897282301061|7897282301061|||||5102|5102|0.0|7.6|PACOCA ROLHA 50X1 900G MORENA DE GOIAS|PACOCA ROLHA 50X1 900G MORENA DE GOIAS|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|17049090|17049090|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500900|2024-10-28 18:04:58.498525+00:00|7891132019403|7891132019403|||1703500|1703500|5102|5102|0.0|7.6|SAZON AMARELO 60GR|SAZON AMARELO 60GR|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21039021|21039021|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500901|2024-10-28 18:04:58.498525+00:00|7897534809468|7897534809468|||||5102|5102|0.0|0.0|ALCOOL LIQ START ASSEPGEL  NAT 70% 1L|ALCOOL LIQ START ASSEPGEL  NAT 70% 1L|naturezareceita|||||19|19|19|19|0|0|0|9.0|001|38089429|38089429|0.0|0.0|04|04|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500902|2024-10-28 18:04:58.498525+00:00|7894900650044|7894900650044|||1711100|1711100|5102|5102|0.0|0.0|KAPO CAJU 200 ML|KAPO CAJU 200 ML|naturezareceita|||||19|19|19|19|0|0|0|30.0|918|22021000|22021000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500903|2024-10-28 18:04:58.498525+00:00|7897184000253|7897184000253|||0301001|0301001|5405|5405|0.0|0.0|REF ZAP COLA 250ML|REF ZAP COLA 250ML|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22021000|22021000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500904|2024-10-28 18:04:58.498525+00:00|7896071025393|7896071025393|||1705700|1705700|5102|5102|0.0|7.6|BISC TODDY WAFER CHOCOLATE TRUFADO 94G|BISC TODDY WAFER CHOCOLATE TRUFADO 94G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053200|19053200|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500905|2024-10-28 18:04:58.498525+00:00|7892300000100|7892300000100|||||5102|5102|0.0|7.6|AMIDO DE MILHO SINHA CAIXA 200G|AMIDO DE MILHO SINHA CAIXA 200G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|11081200|11081200|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500906|2024-10-28 18:04:58.498525+00:00|7896009718113|7896009718113|||||5102|5102|0.0|7.6|PILHA RAYOVAC PEQ AMAR 10842 SM 4UN|PILHA RAYOVAC PEQ AMAR 10842 SM 4UN|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|85061020|85061020|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500907|2024-10-28 18:04:58.498525+00:00|7894900050011|7894900050011|||0301002|0301002|5405|5405|0.0|0.0|FANTA UVA LT 350ML|FANTA UVA LT 350ML|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22021000|22021000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500908|2024-10-28 18:04:58.498525+00:00|78943155|78943155|||0400100|0400100|5405|5405|0.0|0.0|CIG KENT RED INNOVATIVE CHOICE(MACO)20UN|CIG KENT RED INNOVATIVE CHOICE(MACO)20UN|naturezareceita|||||0|0|0|0|60|60|0|12.0|101|24022000|24022000|0.0|0.0|05|05|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500909|2024-10-28 18:04:58.498525+00:00|7891089062767|7891089062767|||||5102|5102|0.0|0.0|UVAS PASSAS LA VIOLETERA S/SEM PRETA 100GR|UVAS PASSAS LA VIOLETERA S/SEM PRETA 100GR|naturezareceita|||||19|19|19|19|0|0|0|14.0|116|08062000|08062000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500911|2024-10-28 18:04:58.498525+00:00|7897594300011|7897594300011|||1707905|1707905|5102|5102|0.0|7.6|PURURUCA UBERLANDIA 30G|PURURUCA UBERLANDIA 30G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|16024900|16024900|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500912|2024-10-28 18:04:58.498525+00:00|7896213005771|7896213005771|||1705301|1705301|5102|5102|0.0|7.6|VITARELLA DELICITA BISC DOCE CRISTAL 414GR|VITARELLA DELICITA BISC DOCE CRISTAL 414GR|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053100|19053100|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500913|2024-10-28 18:04:58.498525+00:00|7896004006475|7896004006475|||1703101|1703101|5102|5102|0.0|7.6|BUADUCCO PRINGLES CREME CEBOLAS 120G|BUADUCCO PRINGLES CREME CEBOLAS 120G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19059090|19059090|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500914|2024-10-28 18:04:58.498525+00:00|7896058257236|7896058257236|||1705700|1705700|5102|5102|0.0|7.6|PASSION CHOCOLATE 80G|PASSION CHOCOLATE 80G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053200|19053200|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500915|2024-10-28 18:04:58.498525+00:00|7897959800576|7897959800576|||||5102|5102|0.0|7.6|PIMENTA REINO MOIDA 30GR|PIMENTA REINO MOIDA 30GR|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|09041200|09041200|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500917|2024-10-28 18:04:58.498525+00:00|7891000096468|7891000096468|||||5102|5102|0.0|7.6|CHANDELLE CHOC 360G|CHANDELLE CHOC 360G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|04039000|04039000|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500918|2024-10-28 18:04:58.498525+00:00|7896286612371|7896286612371|||1705300|1705300|5102|5102|0.0|7.6|CORY PALITO DE CHOC MEIO AMARGO 90G|CORY PALITO DE CHOC MEIO AMARGO 90G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053100|19053100|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
