code|await_sync_at|barcode_df|barcode_items_df|cbenef_df|cbenef_items_df|cest_df|cest_items_df|cfop_df|cfop_items_df|cofins_aliquota_df|cofins_aliquota_items_df|description_df|description_items_df|divergent_columns_df|estado_destino_df|estado_destino_items_df|estado_origem_df|estado_origem_items_df|icms_aliquota_df|icms_aliquota_items_df|icms_aliquota_reduzida_df|icms_aliquota_reduzida_items_df|icms_cst_df|icms_cst_items_df|naturezareceita_df|naturezareceita_id|naturezareceita_items_df|ncm_df|ncm_items_df|pis_aliquota_df|pis_aliquota_items_df|piscofins_cst_df|piscofins_cst_items_df|protege_df|protege_items_df|sequencial_df|sequencial_items_df|status_item|sync_at|sync_validate_at
500334|2024-10-28 18:04:58.498525+00:00|7892300000933|7892300000933|||||5102|5102|0.0|0.0|FLOCOS PRE-COZIDO FLOCAO SINHA 500GR|FLOCOS PRE-COZIDO FLOCAO SINHA 500GR|naturezareceita|||||19|19|19|19|0|0|0|5.0|108|11041900|11041900|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500335|2024-10-28 18:04:58.498525+00:00|7622300861308|7622300861308|||||5102|5102|0.0|7.6|REFRESCO TANG MORANGO 25G|REFRESCO TANG MORANGO 25G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21069010|21069010|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500338|2024-10-28 18:04:58.498525+00:00|7896797900011|7896797900011||GO811010|||5102|5102|0.0|0.0|OVOS SOUZA LIMA BCO 30UN PVC|OVOS SOUZA LIMA BCO 30UN PVC|cbenef, naturezareceita|||||0|0|0|0|40|40|0|15.0|117|04072100|04072100|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500341|2024-10-28 18:04:58.498525+00:00|7892840816438|7892840816438|||1703000|1703000|5102|5102|0.0|7.6|SALG FANDANGOS 45G PRESUNTO|SALG FANDANGOS 45G PRESUNTO|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19041000|19041000|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500342|2024-10-28 18:04:58.498525+00:00|7898282353173|7898282353173|||||5102|5102|0.0|7.6|FARINHA TEMP DA RUA DA MAQUINA 350G|FARINHA TEMP DA RUA DA MAQUINA 350G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|11062000|11062000|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500343|2024-10-28 18:04:58.498525+00:00|7897534826328|7897534826328|||1100700|1100700|5102|5102|0.0|7.6|LAVA LOUCAS AZULIM NEUTRO 500ML|LAVA LOUCAS AZULIM NEUTRO 500ML|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|34029039|34029039|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500345|2024-10-28 18:04:58.498525+00:00|7622300861872|7622300861872|||||5102|5102|0.0|7.6|REFRESCO TANG LARANJA MAMAO 25G|REFRESCO TANG LARANJA MAMAO 25G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21069010|21069010|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500346|2024-10-28 18:04:58.498525+00:00|78943247|78943247|||0400100|0400100|5405|5405|0.0|0.0|CIG FREE KENT BOOST(BOX) VERM 20UND|CIG FREE KENT BOOST(BOX) VERM 20UND|naturezareceita|||||0|0|0|0|60|60|0|12.0|101|24022000|24022000|0.0|0.0|05|05|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500347|2024-10-28 18:04:58.498525+00:00|7891149108480|7891149108480|||0302103|0302103|5405|5405|0.0|0.0|SKOL PURO MALTE LT 269ML|SKOL PURO MALTE LT 269ML|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22030000|22030000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500348|2024-10-28 18:04:58.498525+00:00|7891149109746|7891149109746|||0302103|0302103|5405|5405|0.0|0.0|SKOL PURO MALTE LT SLEEK 350ML|SKOL PURO MALTE LT SLEEK 350ML|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22030000|22030000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500349|2024-10-28 18:04:58.498525+00:00|7897195981343|7897195981343|||1711200|1711200|5102|5102|0.0|7.6|GARRAFA DE SUCO 900ML NECTAR UVA|GARRAFA DE SUCO 900ML NECTAR UVA|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|22029900|22029900|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500351|2024-10-28 18:04:58.498525+00:00|78910041|78910041|||||5102|5102|0.0|7.6|PASTILHA GAROTO HORTELA 17G|PASTILHA GAROTO HORTELA 17G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|17049020|17049020|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500353|2024-10-28 18:04:58.498525+00:00|7898909066851|7898909066851|||1704000|1704000|5102|5102|0.0|7.6|EXTRATO TOMATE GOIALLI  340GR LATA|EXTRATO TOMATE GOIALLI  340GR LATA|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|20029000|20029000|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500355|2024-10-28 18:04:58.498525+00:00|7896058256406|7896058256406|||1705300|1705300|5102|5102|0.0|7.6|BISC TRIUNFO SALPET 100G|BISC TRIUNFO SALPET 100G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053100|19053100|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500357|2024-10-28 18:04:58.498525+00:00|7891991011877|7891991011877|||0302103|0302103|5405|5405|0.0|0.0|BUDWEISER LT 269ML|BUDWEISER LT 269ML|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22030000|22030000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500358|2024-10-28 18:04:58.498525+00:00|7897664171732|7897664171732||GO821019|2003400|2003400|5102|5102|0.0|0.0|SABONETE  ALBANY HOMEN AZUL 85GR|SABONETE  ALBANY HOMEN AZUL 85GR|icms_aliquota, cbenef, naturezareceita|||||7|12|7|7|20|20|0|25.0|128|34011190|34011190|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500360|2024-10-28 18:04:58.498525+00:00|7896045505319|7896045505319|||0302103|0302103|5405|5405|0.0|0.0|AMSTEL LAGER LT 269 ML|AMSTEL LAGER LT 269 ML|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22030000|22030000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500361|2024-10-28 18:04:58.498525+00:00|7898215157403|7898215157403|||1701600|1701600|5102|5102|0.0|0.0|LEITE INTEGRAL NINHO VIT 1L EDGE|LEITE INTEGRAL NINHO VIT 1L EDGE|naturezareceita|||||12|12|12|12|0|0|0|6.0|110|04012010|04012010|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500362|2024-10-28 18:04:58.498525+00:00|7891021001946|7891021001946|||1401100|1401100|5102|5102|0.0|7.6|FILTRO PAPEL MELITA P/CAFE 103 40UN|FILTRO PAPEL MELITA P/CAFE 103 40UN|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|48232099|48232099|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500363|2024-10-28 18:04:58.498525+00:00|7896540100019|7896540100019||GO821019|1709601|1709601|5102|5102|0.0|0.0|CAFE MOIDO UDI 250G|CAFE MOIDO UDI 250G|icms_aliquota, cbenef, naturezareceita|||||7|12|7|7|20|20|0|20.0|123|09012100|09012100|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500364|2024-10-28 18:04:58.498525+00:00|7896098902042|7896098902042|||1100500|1100500|5102|5102|0.0|7.6|DETERGENTE YPE CAPIM LIMAO 500ML|DETERGENTE YPE CAPIM LIMAO 500ML|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|34025000|34025000|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500366|2024-10-28 18:04:58.498525+00:00|7897195931799|7897195931799|||1701000|1701000|5102|5102|0.0|7.6|GARRAFA DE 300ML SUCO DE LARANJA|GARRAFA DE 300ML SUCO DE LARANJA|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|20091200|20091200|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500367|2024-10-28 18:04:58.498525+00:00|7891000027967|7891000027967|||1702100|1702100|5102|5102|0.0|0.0|CHAMYTO TRAD 120G|CHAMYTO TRAD 120G|naturezareceita|||||19|19|19|19|0|0|0|6.0|110|04039000|04039000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500369|2024-10-28 18:04:58.498525+00:00|7897195981299|7897195981299|||1701000|1701000|5102|5102|0.0|7.6|GALAO 1,7 LITROS - NECTAR DE LARANJA|GALAO 1,7 LITROS - NECTAR DE LARANJA|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|20091200|20091200|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500370|2024-10-28 18:04:58.498525+00:00|7894900012040|7894900012040|||0301002|0301002|5405|5405|0.0|0.0|COCA COLA PET 355ML|COCA COLA PET 355ML|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22021000|22021000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500372|2024-10-28 18:04:58.498525+00:00|7896286618373|7896286618373|||1705300|1705300|5102|5102|0.0|7.6|BISC CORY 110GR RECH HIPOPO CHOCOLATE|BISC CORY 110GR RECH HIPOPO CHOCOLATE|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053100|19053100|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
