code|barcode_df|description_df|ncm_df|cest_df|cfop_df|icms_cst_df|icms_aliquota_df|icms_aliquota_reduzida_df|protege_df|cbenef_df|piscofins_cst_df|pis_aliquota_df|cofins_aliquota_df|naturezareceita_df|sequencial_df|estado_origem_df|estado_destino_df|sequencial_items_df|barcode_items_df|description_items_df|ncm_items_df|cest_items_df|cfop_items_df|icms_cst_items_df|icms_aliquota_items_df|icms_aliquota_reduzida_items_df|protege_items_df|cbenef_items_df|piscofins_cst_items_df|pis_aliquota_items_df|cofins_aliquota_items_df|naturezareceita_id|status_item|estado_origem_items_df|estado_destino_items_df|sync_at|await_sync_at|sync_validate_at|naturezareceita_items_df|divergent_columns_df
500334|7892300000933|FLOCOS PRE-COZIDO FLOCAO SINHA 500GR|11041900||5102|0|19|19|0||06|0.0|0.0|0|0|||0|7892300000933|FLOCOS PRE-COZIDO FLOCAO SINHA 500GR|11041900||5102|0|19|19|0||06|0.0|0.0|5.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||108|naturezareceita
500335|7622300861308|REFRESCO TANG MORANGO 25G|21069010||5102|0|19|19|0||01|0.0|0.0|0|0|||0|7622300861308|REFRESCO TANG MORANGO 25G|21069010||5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500338|7896797900011|OVOS SOUZA LIMA BCO 30UN PVC|04072100||5102|40|0|0|0||06|0.0|0.0|0|0|||0|7896797900011|OVOS SOUZA LIMA BCO 30UN PVC|04072100||5102|40|0|0|0|GO811010|06|0.0|0.0|15.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||117|cbenef, naturezareceita
500341|7892840816438|SALG FANDANGOS 45G PRESUNTO|19041000|1703000|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7892840816438|SALG FANDANGOS 45G PRESUNTO|19041000|1703000|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500342|7898282353173|FARINHA TEMP DA RUA DA MAQUINA 350G|11062000||5102|0|19|19|0||01|0.0|0.0|0|0|||0|7898282353173|FARINHA TEMP DA RUA DA MAQUINA 350G|11062000||5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500343|7897534826328|LAVA LOUCAS AZULIM NEUTRO 500ML|34029039|1100700|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7897534826328|LAVA LOUCAS AZULIM NEUTRO 500ML|34029039|1100700|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500345|7622300861872|REFRESCO TANG LARANJA MAMAO 25G|21069010||5102|0|19|19|0||01|0.0|0.0|0|0|||0|7622300861872|REFRESCO TANG LARANJA MAMAO 25G|21069010||5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500346|78943247|CIG FREE KENT BOOST(BOX) VERM 20UND|24022000|0400100|5405|60|0|0|0||05|0.0|0.0|0|0|||0|78943247|CIG FREE KENT BOOST(BOX) VERM 20UND|24022000|0400100|5405|60|0|0|0||05|0.0|0.0|12.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||101|naturezareceita
500347|7891149108480|SKOL PURO MALTE LT 269ML|22030000|0302103|5405|60|0|0|0||06|0.0|0.0|0|0|||0|7891149108480|SKOL PURO MALTE LT 269ML|22030000|0302103|5405|60|0|0|0||06|0.0|0.0|30.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||918|naturezareceita
500348|7891149109746|SKOL PURO MALTE LT SLEEK 350ML|22030000|0302103|5405|60|0|0|0||06|0.0|0.0|0|0|||0|7891149109746|SKOL PURO MALTE LT SLEEK 350ML|22030000|0302103|5405|60|0|0|0||06|0.0|0.0|30.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||918|naturezareceita
