code|await_sync_at|barcode|cbenef|cest|cfop|cofins_aliquota|description|divergent_columns|estado_destino|estado_origem|icms_aliquota|icms_aliquota_reduzida|icms_cst|naturezareceita|naturezareceita_id|ncm|pis_aliquota|piscofins_cst|protege|sequencial|status_item|sync_at|sync_validate_at
500348|2024-10-28 18:04:58.498525+00:00|7891149109746||0302103|5405|0.0|SKOL PURO MALTE LT SLEEK 350ML|naturezareceita|||0|0|60|0|30.0|22030000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500349|2024-10-28 18:04:58.498525+00:00|7897195981343||1711200|5102|0.0|GARRAFA DE SUCO 900ML NECTAR UVA|pis_aliquota, cofins_aliquota|||19|19|0|0||22029900|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500351|2024-10-28 18:04:58.498525+00:00|78910041|||5102|0.0|PASTILHA GAROTO HORTELA 17G|pis_aliquota, cofins_aliquota|||19|19|0|0||17049020|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500353|2024-10-28 18:04:58.498525+00:00|7898909066851||1704000|5102|0.0|EXTRATO TOMATE GOIALLI  340GR LATA|pis_aliquota, cofins_aliquota|||19|19|0|0||20029000|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500355|2024-10-28 18:04:58.498525+00:00|7896058256406||1705300|5102|0.0|BISC TRIUNFO SALPET 100G|pis_aliquota, cofins_aliquota|||19|19|0|0||19053100|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500357|2024-10-28 18:04:58.498525+00:00|7891991011877||0302103|5405|0.0|BUDWEISER LT 269ML|naturezareceita|||0|0|60|0|30.0|22030000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500358|2024-10-28 18:04:58.498525+00:00|7897664171732||2003400|5102|0.0|SABONETE  ALBANY HOMEN AZUL 85GR|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|25.0|34011190|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500360|2024-10-28 18:04:58.498525+00:00|7896045505319||0302103|5405|0.0|AMSTEL LAGER LT 269 ML|naturezareceita|||0|0|60|0|30.0|22030000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500361|2024-10-28 18:04:58.498525+00:00|7898215157403||1701600|5102|0.0|LEITE INTEGRAL NINHO VIT 1L EDGE|naturezareceita|||12|12|0|0|6.0|04012010|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500362|2024-10-28 18:04:58.498525+00:00|7891021001946||1401100|5102|0.0|FILTRO PAPEL MELITA P/CAFE 103 40UN|pis_aliquota, cofins_aliquota|||19|19|0|0||48232099|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500363|2024-10-28 18:04:58.498525+00:00|7896540100019||1709601|5102|0.0|CAFE MOIDO UDI 250G|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|20.0|09012100|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500364|2024-10-28 18:04:58.498525+00:00|7896098902042||1100500|5102|0.0|DETERGENTE YPE CAPIM LIMAO 500ML|pis_aliquota, cofins_aliquota|||19|19|0|0||34025000|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500366|2024-10-28 18:04:58.498525+00:00|7897195931799||1701000|5102|0.0|GARRAFA DE 300ML SUCO DE LARANJA|pis_aliquota, cofins_aliquota|||19|19|0|0||20091200|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500367|2024-10-28 18:04:58.498525+00:00|7891000027967||1702100|5102|0.0|CHAMYTO TRAD 120G|naturezareceita|||19|19|0|0|6.0|04039000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500369|2024-10-28 18:04:58.498525+00:00|7897195981299||1701000|5102|0.0|GALAO 1,7 LITROS - NECTAR DE LARANJA|pis_aliquota, cofins_aliquota|||19|19|0|0||20091200|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500370|2024-10-28 18:04:58.498525+00:00|7894900012040||0301002|5405|0.0|COCA COLA PET 355ML|naturezareceita|||0|0|60|0|30.0|22021000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500372|2024-10-28 18:04:58.498525+00:00|7896286618373||1705300|5102|0.0|BISC CORY 110GR RECH HIPOPO CHOCOLATE|pis_aliquota, cofins_aliquota|||19|19|0|0||19053100|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500373|2024-10-28 18:04:58.498525+00:00|7897664171756||2003400|5102|0.0|SABONETE ALBANY HOMEN VERDE 85GR|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|25.0|34011190|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500374|2024-10-28 18:04:58.498525+00:00|7891132082322|||5102|0.0|REFRESCO MID LARANJA 20G|pis_aliquota, cofins_aliquota|||19|19|0|0||21069010|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
